name,category,brand,price,stock_quantity,available
Raisin Cinnamon Granola,Sports,Topicshots,100,35,true
Electric Stir Fry Pan,Books,Browsetype,5,10,false
Raisin Cinnamon Granola,Books,Midel,36,73,true
Cauliflower Rice Stir-Fry,Clothing,Babbleset,49,60,false
Crispy Tofu Bites,Sports,Realpoint,82,29,true
Portable Grill Cover,Sports,Babblestorm,67,13,true
Foam Muscle Roller,Books,Brainsphere,99,21,false
Noise Cancelling Ear Muffs,Home,Aivee,3,73,false
Lemon Basil Pasta Sauce,Electronics,Youbridge,50,11,true
Smart Light Bulbs,Electronics,Avaveo,71,48,false
Winter Insulated Jacket,Electronics,Jabberbean,1,40,true
Sweet Cherry Tomatoes,Clothing,Brightdog,80,7,false
Heated Throw Blanket,Electronics,Skyble,18,61,true
Air Fryer,Electronics,Twinder,51,85,true
Garden Kneeler and Seat,Home,Jaxworks,9,8,true
Cordless Electric Screwdriver,Sports,Snaptags,11,64,true
Pumpkin Waffles,Office,Devpoint,100,95,true
Teriyaki Stir-Fry Sauce,Office,Yakidoo,51,31,true
Colorful Post-It Notes Set,Office,Quatz,89,27,false
Nail Polish Set,Office,Kamba,45,49,false
Organic Green Tea,Sports,Fivespan,15,45,false
Bamboo Toothbrush Holder,Office,Quinu,55,44,false
Pleated Midi Dress,Office,Mudo,8,72,true
Skincare Set,Clothing,Thoughtstorm,37,51,false
Ice Cream Scoop,Electronics,Shuffletag,61,5,true
Smart Light Switch,Clothing,Youspan,12,90,false
Carrot Sticks,Books,Mycat,91,86,true
Honey Mustard Sauce,Office,Omba,95,36,false
Chickpea Pasta,Electronics,Oyoyo,69,8,true
Cauliflower Gnocchi,Electronics,Chatterpoint,62,91,false
Sun-Dried Tomato Pesto,Office,Izio,53,80,true
Digital Food Scale,Electronics,Rhycero,18,11,true
Self-Massaging Pillow,Clothing,Fatz,8,2,true
Pet Training Clicker,Books,Janyx,26,19,true
Elderberry Syrup Kit,Home,Cogidoo,31,93,false
Honey Garlic Shrimp,Office,Thoughtmix,57,18,true
Bluetooth Car Adapter,Clothing,Realcube,44,96,true
Pasta Maker Machine,Office,Jaxnation,54,97,false
Brussels Sprouts,Clothing,Gigazoom,92,61,true
Honey-Balsamic Vinaigrette,Books,Meemm,25,98,true
Smart Home Hub,Books,Youtags,27,31,false
Banana Peanut Butter Smoothie,Electronics,Oyope,19,58,false
Non-Stick Grill Pan,Sports,Centizu,82,53,true
Magnetic Curtain Tiebacks,Office,Twitterworks,57,70,true
Mini Fondue Set,Electronics,Zoombox,76,18,false
Folding Table,Clothing,Omba,77,67,true
Spicy Tuna Sushi Kit,Books,Cogidoo,27,78,true
Turmeric Ginger Tea,Office,Zazio,50,76,false
Frozen Berry Medley,Office,Yabox,5,89,true
Italian Sausage and Peppers,Home,Tambee,45,42,false
